Marca,Modelo,Tipo,Capacidade de Refrigeração Nominal (Btu/h),Consumo Anual de Energia (kWh),IDRS (Wh/Wh)
VIX,AS-18TW2RMADK02.indoor / AS-18TW2RMADK02.outdoor,Split Hi-Wall,18000.0,468.0,9.0
SAMSUNG,AR18CVFAAWKNAZ,Split Hi-Wall,18000.0,70.3,6.2
SAMSUNG,AR12BVHZCWKNAZ,Split Hi-Wall,12000.0,485.0,6.0
SAMSUNG,AR09BSHZCWKNAZ,Split Hi-Wall,9000.0,312.0,7.0
SAMSUNG,AR18BSEAAWKNAZ,Split Hi-Wall,18000.0,703.0,6.2
SAMSUNG,AR12CSECABTNAZ,Split Hi-Wall,12000.0,485.0,6.0
SAMSUNG,AR24CVFCABTNAZ,Split Hi-Wall,22000.0,888.0,6.0
AGRATTO,ACST9F - 02,Split Hi-Wall,9000.0,622.0,3.5
FONTAINE,FCST9F - 02,Split Hi-Wall,9000.0,622.0,3.5
AGRATTO,FACST12F - 02,Split Hi-Wall,12000.0,830.0,3.5
TECHFRIO,TECH01F24INT - TECH01F24EXT,Split Hi-Wall,24000.0,1514.0,4.15
BRAVOLT,BRA41INT / BRA41EXT,Split Hi-Wall,30000.0,2202.0,3.85
AUFIT,AUF-09COQG,Split Hi-Wall,9000.0,432.0,5.88
AUFIT,AUF-30COQG-IDU,Split Hi-Wall,29000.0,1260.0,5.58
GREE,GWC12QC-D3DNB8M,Split Hi-Wall,12000.0,22.7,3.26
GREE,GWC33QF-D3DNB2J,Split Hi-Wall,32000.0,56.5,3.49
GREE,GWC24ACE-D3DNA1B,Split Hi-Wall,24000.0,906.6,7.0
Gree,GWC12ATC-D6DNA1A,Split Hi-Wall,12000.0,481.4,6.04
Gree,GWC18ATD-D6DNA1A,Split Hi-Wall,18000.0,723.0,6.01
Gree,GWC24ATE-D6DNA1A,Split Hi-Wall,24000.0,876.5,6.63
Gree,GWC18ATD-D6DNA2A,Split Hi-Wall,18000.0,793.6,5.49
Gree,GWC24ATD-D6DNA2A,Split Hi-Wall,24000.0,1059.5,5.46
Gree,GWC12ACC-D6DNA1A,Split Hi-Wall,12000.0,482.4,6.02
Gree,GWC12ATB-D6DNA4B,Split Hi-Wall,12000.0,536.4,5.41
Gree,GWC18ATDXD-D6DNA3E,Split Hi-Wall,18000.0,622.0,7.01
Gree,GWC24ATEXE-D6DNA3E,Split Hi-Wall,24000.0,829.0,7.01
Gree,GWC30ATEXF-S6DNA3A,Split Hi-Wall,30000.0,1036.0,7.01
Gree,GWC30AWEXF-S6DNA4A,Split Hi-Wall,30000.0,1036.0,7.01
Gree,GWC24ATE-D6DNA1AB,Split Hi-Wall,24000.0,967.0,6.01
TCL,TAC-24CTG2-INV,Split Hi-Wall,24000.0,887.0,6.6
TCL,TAC-09CTG2-INV,Split Hi-Wall,9000.0,386.0,5.59
TCL,TAC-18CFG3W-INV,Split Hi-Wall,18000.0,629.0,7.05
TCL,TAC-18CFG3B-INV,Split Hi-Wall,18000.0,629.0,7.05
TCL,TAC-09CTG3-INV,Split Hi-Wall,9000.0,326.0,7.0
TCL,TAC-18CHTG1-INV,Split Hi-Wall,18000.0,720.0,6.01
TCL,TAC-09CHTG2-INV,Split Hi-Wall,9000.0,369.0,5.72
HISENSE,AS-09TW2RLDTT00E,Split Hi-Wall,9000.0,403.0,5.5
HISENSE,AS-30UW2RKKVQ01E,Split Hi-Wall,30000.0,1316.0,6.05
HISENSE,AS-09TW2RLDTD00AE / AS-09TW2RLD00AC,Split Hi-Wall,9000.0,388.0,5.5
HISENSE,AS-09TW2RLDDK00AE / AS-09TW2RLD00AC,Split Hi-Wall,9000.0,388.0,5.5
HISENSE,AS-09TW2RLCHB00E/AS-09TW2RLC00C,Split Hi-Wall,9000.0,307.0,7.2
HISENSE,AS-12TW2RLUHB00E/AS-12TW2RLU00C,Split Hi-Wall,12000.0,400.0,7.2
HISENSE,AS-12TW2RLUHA00E/AS-12TW2RLU00C,Split Hi-Wall,12000.0,400.0,7.2
HISENSE,AS-12TW2RLUMA00E/AS-12TW2RLU00C,Split Hi-Wall,12000.0,400.0,7.2
HISENSE,AS-18TW2RWPHB00E/AS-18TW2RWP00C,Split Hi-Wall,18000.0,592.0,7.2
HISENSE,AS-18UW2RWPHB00E/AS-18UW2RWP00C,Split Hi-Wall,18000.0,599.0,7.3
HISENSE,AS-24UW2RBWHB00E/AS-24UW2RBW00C,Split Hi-Wall,24000.0,795.0,7.3
VIX,AS-12UW2RLDDK01/ AS-12UW2RLD00AC,Split Hi-Wall,12000.0,510.0,5.5
AIRSTAGE,ASKA30CPBA/AOKA30CPBA,Split Hi-Wall,30000.0,1331.0,5.52
SIMPLEY,CQSPL09IIS2AX - CQSPL09EIS2AX,Split Hi-Wall,9000.0,380.0,5.72
EOS,EAS36001IFI - EAS36001IFE,Split Hi-Wall,36000.0,1530.0,5.7
EOS,EAS12001IQFI - EAS12001IQFE,Split Hi-Wall,12000.0,500.0,5.75
EOS,EAS36001IQFI - EAS36001IQFE,Split Hi-Wall,36000.0,1564.0,5.71
EMMETI,CFEMT36IIS2BX - CFEMT36EIS2BX,Split Hi-Wall,36000.0,1530.0,5.7
EMMETI,CQEMT09IIS2AX - CQEMT09EIS2AX,Split Hi-Wall,9000.0,380.0,5.72
EMMETI,CQEMT18IIS2AX - CQEMT18EIS2AX,Split Hi-Wall,18000.0,760.0,5.73
EMMETI,CQEMT24IIS2AX - CQEMT24EIS2AX,Split Hi-Wall,24000.0,1020.0,5.72
EOS,EAS30001IFI - EAS30001IFE,Split Hi-Wall,24000.0,1256.0,5.77
HQ,CQHQ12IIS2BX / CQHQ12EIS2BX,Split Hi-Wall,12000.0,500.0,5.75
HQ,CFHQ09IIS2BX / CFHQ09EIS2BX,Split Hi-Wall,9000.0,380.0,5.72
HQ,CFHQ18IIS2BX / CFHQ18EIS2BX,Split Hi-Wall,18000.0,760.0,5.73
HQ,CFHQ24IIS2BX / CFHQ24EIS2BX,Split Hi-Wall,24000.0,1020.0,5.72
MDX,VIMC36KCO3S2C13 / VIMC36KCO3S2E13,Split Hi-Wall,36000.0,1564.0,5.71
HQ,VIHT12KCO3S2E13 / VIHT12KCO3S2C13,Split Hi-Wall,12000.0,500.0,5.75
HQ,VIHT18KCH3S2E23 / VIHT18KCH3S2E23,Split Hi-Wall,18000.0,760.0,5.73
KENNEDY,KEN02F12INT / KEN02F12EXT,Split Hi-Wall,12000.0,520.0,5.5
KENNEDY,KEN02F24INT / KEN02F24EXT,Split Hi-Wall,24000.0,850.0,6.3
TCL,TAC-09CSA1,Split Hi-Wall,9000.0,60.8,3.6
TCL,TAC-24CSA1,Split Hi-Wall,24000.0,165.7,3.51
TCL,TAC-30CSA1,Split Hi-Wall,30000.0,2117.0,3.51
TCL,TAC-18CHSA1,Split Hi-Wall,18000.0,1238.0,3.52
Fujitsu/Airstage,ASBG24KMBA/AOBG24KMCA,Split Hi-Wall,24000.0,764.0,7.6
