Marca,Modelo,Tipo,Capacidade de Refrigeração Nominal (Btu/h),Consumo Anual de Energia (kWh),IDRS (Wh/Wh)
VIX,AS-24TW2RBBDK03.indoor / AS-24TW2RBBDK03.outdoor,Split Hi-Wall,24000.0,749.0,7.88
VIX,AS-30TW2RKKDK01.indoor / AS-30TW2RKKDK01.outdoor,Split Hi-Wall,30000.0,863.0,9.32
VIX,AS-12CR2SLEDK00_ODU / AS-12CR2SLEDK00_IDU,Split Hi-Wall,12000.0,887.1,3.14
HQ,HQ-ONF24000FHI / HQ-ONF24000FHO,Split Hi-Wall,24000.0,1745.0,3.23
VIX,AS-12TW2RLDDK00_IDU / AS-12TW2RLDDK00_ODU,Split Hi-Wall,12000.0,336.0,8.08
VIX,AS-24TW2RBBDK03_IDU / AS-24TW2RBBDK03_ODU,Split Hi-Wall,24000.0,749.0,7.88
VIX,AS-09UW2RLDDK00_IDU / AS-09UW2RLDDK00_ODU,Split Hi-Wall,9000.0,216.0,9.25
VIX,AS-12UW2RLDDK00_IDU / AS-12UW2RLDDK00_ODU,Split Hi-Wall,12000.0,303.0,9.71
VIX,AS-12CR2SLEDDK02_ODU / AS-12CR2SLEDK02_IDU,Split Hi-Wall,12000.0,887.1,3.14
VIX,AS-09CR2SLDDK01_IDU / AS-09CR2SLDDK01_ODU,Split Hi-Wall,9000.0,68.0,3.14
PHILCO,PAC30FI,Split Hi-Wall,30000.0,2146.0,3.14
PHILCO,PAC24QB,Split Hi-Wall,24000.0,978.0,5.5
BRITÂNIA,BAC24QC,Split Hi-Wall,24000.0,1036.0,5.5
PHILCO,PAC18FI,Split Hi-Wall,18000.0,1343.0,3.14
SIMPLEY,CFSPL24IOS2BX - CFSPL24EOS2BX,Split Hi-Wall,24000.0,1526.0,3.57
EMMETI,CFEMT12IOS1BX - CFEMT12EOS1BX,Split Hi-Wall,12000.0,901.0,3.74
EMMETI,CFEMT30IOS2BX - CFEMT30EOS2BX,Split Hi-Wall,30000.0,2320.0,3.52
HQ,CFHQ09IOS2AX / CFHQ09EOS2AX,Split Hi-Wall,9000.0,631.0,3.62
MDX,VOMC30KCO4S2C13 / VOMC30KCO4S2E13,Split Hi-Wall,30000.0,2320.0,3.52
PHILCO,PAC24000IFM15,Split Hi-Wall,24000.0,950.0,5.5
PHILCO,PAC18000IFM15,Split Hi-Wall,18000.0,764.0,5.5
BRITÂNIA,BAC18000IFM15,Split Hi-Wall,18000.0,764.0,5.5
BRITÂNIA,BAC18000IQFM15,Split Hi-Wall,18000.0,800.0,5.5
PHILCO,PAC12000IQFM15 / PAC12000IQFM15E,Split Hi-Wall,12000.0,470.0,5.5
EOS,EAS30000IQF2,Split Hi-Wall,30000.0,1211.0,5.5
EOS,EAS36000IQF2,Split Hi-Wall,36000.0,1568.0,5.5
PHILCO,PAC24QA,Split Hi-Wall,24000.0,833.0,5.5
PHILCO,PAC12FF,Split Hi-Wall,12000.0,530.0,5.5
MYSTIC,MY-INV1268BR,Split Hi-Wall,12000.0,541.0,5.5
GREE,GWH24AGE-D3DNA4B,Split Hi-Wall,24000.0,839.0,6.96
Gree,GWH09ATA-D6DNA1A,Split Hi-Wall,9000.0,361.2,6.03
Gree,GWH18ATD-D6DNA1A,Split Hi-Wall,18000.0,668.7,6.52
Gree,GWH30ATEXF-S6DNA1A,Split Hi-Wall,30000.0,1012.9,7.17
Gree,GWH18ATD-D6DNA2A,Split Hi-Wall,18000.0,793.8,5.49
Gree,GWH12ACC-D6DNA1A,Split Hi-Wall,12000.0,503.4,5.77
Gree,GWH18ACD-D6DNA1C,Split Hi-Wall,18000.0,711.5,6.13
Gree,GWH09ATB-D6DNA1A,Split Hi-Wall,9000.0,363.3,6.0
Gree,GWH30ATEXF-S6DNA3A,Split Hi-Wall,30000.0,1036.0,7.01
Gree,GWH09ATB-D6DNA1AB,Split Hi-Wall,9000.0,362.0,6.01
AIWA,AWS-AC-24F,Split Hi-Wall,24000.0,827.0,7.0
AUFIT,AUF-12COQGBR,Split Hi-Wall,12000.0,530.0,5.61
AUFIT,AUF-24COQG,Split Hi-Wall,24000.0,911.0,6.44
PHILCO,PAS12QT,Split Hi-Wall,12000.0,869.0,3.14
PHILCO,PAS9FT,Split Hi-Wall,9000.0,640.0,3.14
PHILCO,PAS9QT,Split Hi-Wall,9000.0,640.0,3.14
CONSUL,CBR09C / CBS09C,Split Hi-Wall,9000.0,39.6,55.0
EOS,EAS9000IQF,Split Hi-Wall,9000.0,369.0,5.5
PHILCO,PAC9000ITFM9W,Split Hi-Wall,9000.0,454.0,5.5
HQ,CFHQ09IIS2AX / CFHQ09EIS2AX,Split Hi-Wall,9000.0,383.0,5.7
HQ,CFHQ12IIS2AX / CFHQ12EIS2AX,Split Hi-Wall,12000.0,508.0,5.73
TCL,TAC-18CTG2-INV,Split Hi-Wall,18000.0,769.0,5.8
TCL,TAC-12CTG3-INV,Split Hi-Wall,12000.0,418.0,7.0
TCL,TAC-18CHTG2X-INV,Split Hi-Wall,18000.0,762.0,5.64
TCL,TAC-09CHTG3-INV,Split Hi-Wall,9000.0,323.0,7.06
TCL,TAC-12CHTG3-INV,Split Hi-Wall,12000.0,418.0,7.0
AGRATTO,ACST9F - 01,Split Hi-Wall,9000.0,621.0,3.5
AGRATTO,ACST12F - 01,Split Hi-Wall,12000.0,829.0,3.5
AGRATTO,CST9F - 01,Split Hi-Wall,9000.0,621.0,3.5
AGRATTO,CST12F - 01,Split Hi-Wall,12000.0,829.0,3.5
AIWA,AWS-AC-18F,Split Hi-Wall,18000.0,591.0,7.0
AIWA,AWS-AC-12QF,Split Hi-Wall,12000.0,391.0,5.5
AIWA,AWS-AC-12F,Split Hi-Wall,12000.0,520.0,5.5
AIWA,AWS-AC-9QF,Split Hi-Wall,9000.0,301.0,5.5
TECHFRIO,TECH01F12INT - TECH01F12EXT,Split Hi-Wall,12000.0,826.0,3.55
SAMSUNG,AR09BVFAVWKNAZ,Split Hi-Wall,9000.0,363.0,6.0
SAMSUNG,AR09BVHZCWKNAZ,Split Hi-Wall,9000.0,364.0,6.0
SAMSUNG,AR12BVFAVWKNAZ,Split Hi-Wall,12000.0,485.0,6.0
SAMSUNG,AR24BSEAAWKNAZ,Split Hi-Wall,22000.0,888.0,6.0
SAMSUNG,AR18BSHZCWKNAZ,Split Hi-Wall,18000.0,703.0,6.2
SAMSUNG,AR24BVHZCWKNAZ,Split Hi-Wall,22000.0,888.0,6.0
SAMSUNG,AR09CVFAMWKNAZ,Split Hi-Wall,10000.0,403.0,6.0
SAMSUNG,AR18CSECABTNAZ,Split Hi-Wall,18000.0,703.0,6.2
AGRATTO,ACS18FR4 - 02,Split Hi-Wall,18000.0,1243.0,3.5
FONTAINE,FCS18FR4-02,Split Hi-Wall,18000.0,1243.0,3.5
FONTAINE,FCS22FR4-02,Split Hi-Wall,22000.0,1522.0,3.5
FONTAINE,FCS30FR4-02,Split Hi-Wall,30000.0,2072.0,3.5
TCL,TAC-12CSA2-INV,Split Hi-Wall,12000.0,484.0,6.01
TCL,TAC-18CSG2-INV,Split Hi-Wall,18000.0,734.0,6.0
TCL,TAC-24CSG2-INV,Split Hi-Wall,24000.0,907.0,6.25
TECHFRIO,TECHPOPIND30K / TECHPOPOUT30K,Split Hi-Wall,30000.0,1160.0,7.2
BRAVOLT,BRAVOLTIND30K / BRAVOLTOUT30K,Split Hi-Wall,30000.0,1160.0,7.2
LIFE,LIFE18INT / LIFE18EXT,Split Hi-Wall,18000.0,820.0,5.7
BRAVOLT,BRAVOLTIND24K / BRAVOLTOUT24K,Split Hi-Wall,24000.0,1020.0,5.9
SAMSUNG,AR09DYFAVWKNAZ + AR09DYFAVWKXAZ,Split Hi-Wall,9000.0,336.0,6.5
SAMSUNG,AR12DYFAAWKNAZ + AR12DYFAAWKXAZ,Split Hi-Wall,12000.0,488.0,6.0
SAMSUNG,AR18DXFAAWKNAZ + AR18DXFAAWKXAZ,Split Hi-Wall,18000.0,641.0,6.8
SAMSUNG,AR18DYFZAWKNAZ + AR18DYFZAWKXAZ,Split Hi-Wall,18000.0,727.0,6.0
SAMSUNG,AR24DXEAAWKNAZ + AR24DXEAAWKXAZ,Split Hi-Wall,24000.0,970.0,6.0
SAMSUNG,AR60F24C1AWNAZ + AR60F24C1AWKAZ,Split Hi-Wall,24000.0,909.0,6.4
SAMSUNG,AR60F24D1AWNAZ + AR60F24D1AWKAZ,Split Hi-Wall,24000.0,868.0,6.7
TCL,TAC-12CHFG2BI-INV / TAC-12CHFG2O-INV,Split Hi-Wall,12000.0,408.0,7.25
PHILCO,PAC18000IFM12W,Split Hi-Wall,18000.0,810.0,5.5
EOS,EAS18000IF,Split Hi-Wall,18000.0,810.0,5.5
EOS,EAS18000IQF,Split Hi-Wall,18000.0,810.0,5.5
PHILCO,PAC30000IFM8W,Split Hi-Wall,30000.0,1172.0,6.2
LG,S3NQ09AA31A+S3UQ09AA31A,Split Hi-Wall,9000.0,363.2,6.0
LG,S3NQ24K231B+S3UQ24K231B,Split Hi-Wall,22000.0,888.3,6.0
LG,S3NW18KLR7A+S3UW18KLR7A,Split Hi-Wall,19000.0,742.4,6.2
LG,S3NQ09AA33A+S3UQ09AA33A,Split Hi-Wall,9000.0,363.2,6.0
LG,S3NQ09AA31D+S3UQ09AA31D,Split Hi-Wall,9000.0,340.6,6.4
LG,S3NQ09AAQAK+S3UQ09AAQAK,Split Hi-Wall,9000.0,396.2,5.5
LG,S3NQ09AA33F+S3UQ09AA33F,Split Hi-Wall,9000.0,311.2,7.0
LG,S3NQ18KL33C+S3UQ18KL33C,Split Hi-Wall,18000.0,622.6,7.0
LG,S3NW09AA31E+S3UW09AA31E,Split Hi-Wall,9000.0,311.6,7.0
LG,S3NW12JA31D+S3UW12JA31D,Split Hi-Wall,12000.0,415.3,7.0
LG,S3NW18KL31C+S3UW18KL31C,Split Hi-Wall,18000.0,622.6,7.0
LG,S3NW18KL33C+S3UW18KL33C,Split Hi-Wall,18000.0,622.6,7.0
EMMETI,CQEMT12IIS2AX - CQEMT12EIS2AX,Split Hi-Wall,12000.0,500.0,5.75
HQ,CQHQ18IIS2BX / CQHQ18EIS2BX,Split Hi-Wall,18000.0,760.0,5.73
MDX,VIMC24KCH3S2C23 / VIMC24KCH3S2E23,Split Hi-Wall,24000.0,1020.0,5.72
MDX,VIMC18KCO3S2C13 / VIMC18KCO3S2E13,Split Hi-Wall,18000.0,760.0,5.73
HQ,VIHT18KCO3S2E13 / VIHT18KCO3S2C13,Split Hi-Wall,18000.0,760.0,5.73
HQ,VIHT24KCO3S2E13 / VIHT24KCO3S2C13,Split Hi-Wall,24000.0,1020.0,5.72
HQ,VIHT12KCH3S2E23 /VIHT12KCH3S2E23,Split Hi-Wall,12000.0,500.0,5.75
HQ,VIHT36KCH3S2E23 / VIHT36KCH3S2C23,Split Hi-Wall,36000.0,1564.0,5.71
HISENSE,AS-18TW2RMATT02E,Split Hi-Wall,18000.0,725.0,6.7
HISENSE,AS-24TW2RBBTT03E,Split Hi-Wall,24000.0,1092.0,5.5
HISENSE,AS-18UW2RMATT00E,Split Hi-Wall,18000.0,815.0,6.0
HISENSE,AS-24UW2RBBTT02E,Split Hi-Wall,24000.0,1132.0,5.5
VIX,AS-12TW2RLDDK01 / AS-12TW2RLD00AC,Split Hi-Wall,12000.0,510.0,5.5
HISENSE,AS-09UW2RLCHB00E/AS-09UW2RLC00C,Split Hi-Wall,9000.0,294.0,7.5
HISENSE,AS-09UW2RLCMA00E/AS-09UW2RMA00C,Split Hi-Wall,9000.0,294.0,7.5
HISENSE,AS-12UW2RLUHA00E/AS-12UW2RLU00C,Split Hi-Wall,12000.0,406.0,7.3
HISENSE,AS-12UW2RLUMA00E/AS-12UW2RLU00C,Split Hi-Wall,12000.0,406.0,7.3
HISENSE,AS-18UW2RWPMA00E/AS-18UW2RWP00C,Split Hi-Wall,18000.0,599.0,7.3
HISENSE,AS-24UW2RBWMA00E/AS-24UW2RBW00C,Split Hi-Wall,24000.0,795.0,7.3
HISENSE,AS-30TW2RKZPA00/AS-30TW2RKZ00,Split Hi-Wall,30000.0,1180.0,6.5
HISENSE,AS-30TW2RKZHB00E / AS-30TW2RKZ00C,Split Hi-Wall,30000.0,1180.0,6.5
VIX,AS-09UW2RLDDK01 / AS-09UW2RLD00AC,Split Hi-Wall,9000.0,388.0,5.5
HISENSE,AS-12TW2RLRCK00E / AS-12TW2RLR00C,Split Hi-Wall,12000.0,546.0,5.33
HISENSE,AS-22TW2RXTCK00E /  AS-22TW2RXT00C,Split Hi-Wall,24000.0,995.0,5.3
Fujitsu/Airstage,ASBG12KMBA/AOBG12KMCA,Split Hi-Wall,12000.0,353.0,8.23
HISENSE,AS-09TW2RLDDK00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-09TW2RLDDJ00 / AS-09TW2RLD00,Split Hi-Wall,9000.0,370.0,5.5
HISENSE,AS-12TW2RLDTG00 / AS-12TW2RLD00,Split Hi-Wall,12000.0,475.0,5.5
HISENSE,AS-18TW2RMATD02 / AS-18TW2RMA02,Split Hi-Wall,18000.0,655.0,5.5
HISENSE,AS-24TW2RBBDK03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
HISENSE,AS-24TW2RBBDJ03 / AS-24TW2RBB03,Split Hi-Wall,24000.0,1055.0,5.5
HISENSE,AS-30TW2RKKTT01 / 1KK030009ZNPW5678JM0001,Split Hi-Wall,30000.0,1220.0,5.5
TECHFRIO,HT-30INV,Split Hi-Wall,30000.0,1220.0,5.5
HQ,HQ-INV30000FHI / HQ-INV30000FHO,Split Hi-Wall,30000.0,1220.0,5.5
TECHFRIO,ECO18IND / ECO18OUT,Split Hi-Wall,18000.0,315.0,7.0
AGRATTO,LCST18QF - 02I,Split Hi-Wall,18000.0,792.0,5.5
Agratto,LCS18QF-02I,Split Hi-Wall,18000.0,792.0,5.5
Komeco,KOHI 24QC 1HV,Split Hi-Wall,24000.0,1055.0,5.5
AGRATTO,ICST9F - 02,Split Hi-Wall,9000.0,39.6,5.5
AGRATTO,ICST12F - 02,Split Hi-Wall,12000.0,528.0,5.5
HQ,HQI24F-02,Split Hi-Wall,24000.0,1055.0,5.5
AGRATTO,FICST9F-02I,Split Hi-Wall,9000.0,396.0,5.5
AGRATTO,ZICST24F-02,Split Hi-Wall,24000.0,830.0,7.0
HITACHI,RPK09C3IVF - RAA09C3IVF,Split Hi-Wall,9000.0,33.8,6.45
HITACHI,RPK12C3IVF - RAA12C3IVF,Split Hi-Wall,12000.0,454.0,6.39
HITACHI,RPK12C3IVQ - RAA12C3IVQ,Split Hi-Wall,12000.0,466.0,6.23
HITACHI,RPK12D3IVF - RAA12D3IVF,Split Hi-Wall,12000.0,509.0,5.7
Fujitsu/Airstage,ASBH31KMTA/AOBH31KMTA,Split Hi-Wall,31000.0,988.0,7.6
Fujitsu/Airstage,ASBH27CMTA/AOBH27CMTA,Split Hi-Wall,27000.0,838.0,7.8
GREE,GWC18ACD-D3DNA1M,Split Hi-Wall,18000.0,34.2,3.24
GREE,GWC09AGA-D3DNA4AW,Split Hi-Wall,9000.0,395.7,5.51
Gree,GWC30ATEXF-S6DNA1A,Split Hi-Wall,30000.0,975.8,7.44
Gree,GWC09ACA-D6DNA1A,Split Hi-Wall,9000.0,359.0,6.07
Gree,GWC18AWDXD-D6DNA4H,Split Hi-Wall,18000.0,622.0,7.01
Gree,GWC24AVEXE-D6DNA1A,Split Hi-Wall,24000.0,764.0,7.61
Gree,GWC09ATC-D6DNA1A,Split Hi-Wall,9000.0,362.0,6.01
Gree,GWC12ATC-D6DNA1AB,Split Hi-Wall,12000.0,484.0,6.01
Gree,GWC12ATC-D6DNA1CB,Split Hi-Wall,12000.0,484.0,6.01
TCL,TAC-22CSA2,Split Hi-Wall,22000.0,1776.0,3.14
DAIKIN,FTKC24T5VL / RKC24T5VL,Split Hi-Wall,24000.0,830.2,7.0
DAIKIN,FTHC09T5VL / RHC09T5VL,Split Hi-Wall,9000.0,283.4,7.7
Colormaq,AC 18K FRIO BR 220V ACC18IFBRBNAC,Split Hi-Wall,18000.0,753.0,5.68
Midea,38AGVQI18M5 / 42AGVQI18M5,Split Hi-Wall,18000.0,650.7,6.7
Midea,38MGVQI24M5/42MGVQI24M5,Split Hi-Wall,24000.0,843.0,6.9
Midea,38EZVCA24M5 / 42EZVCA24M5,Split Hi-Wall,24000.0,764.9,7.6
Midea,38EZVQA18M5 / 42EZVQA18M5,Split Hi-Wall,18000.0,573.7,7.6
Midea,38EZVCB12M5 / 42EZVCB12M5,Split Hi-Wall,12000.0,354.5,8.2
Midea,38EMVQA24M5 / 42EMVQA24M5,Split Hi-Wall,24000.0,764.9,7.6
Elgin,HJQI12C2WB / HJQE12C2CB,Split Hi-Wall,12000.0,411.0,7.07
Elgin,HJQI18C2WB / HJQE18C2CB,Split Hi-Wall,18000.0,548.0,8.25
Elgin,HJQI24C2WB / HJQE24C2CB,Split Hi-Wall,24000.0,713.0,8.26
Elgin,45HJQI09C2WC / 45HJQE09C2CC,Split Hi-Wall,9000.0,379.0,5.51
ELGIN,HJQI12C2WG/HJQE12C2CG,Split Hi-Wall,12000.0,415.0,7.0
Electrolux,UI12R/UE12R,Split Hi-Wall,12000.0,831.0,3.5
Electrolux,UI18R/UE18R,Split Hi-Wall,18000.0,1245.0,3.5
Electrolux,JI18R/JE18R,Split Hi-Wall,18000.0,793.0,5.5
Electrolux,YE09R/YI09R,Split Hi-Wall,9000.0,397.0,5.5
Electrolux,YE12R/TI12R,Split Hi-Wall,12000.0,529.0,5.5
Electrolux,UE09F/UI09F,Split Hi-Wall,9000.0,623.0,3.5
AIRSTAGE,ASKA09CPBA/AOKA09CPBA,Split Hi-Wall,9000.0,400.0,5.51
AIRSTAGE,ASKA12CPBA/AOKA12CPBA,Split Hi-Wall,12000.0,51.9,5.51
AIRSTAGE,ASKA30KPBA/AOKA30KPBA,Split Hi-Wall,30000.0,1319.0,5.52
AIRSTAGE,ASKA36CPBA/AOKA36CPBA,Split Hi-Wall,36000.0,1556.0,5.52
Vertys,ASIIQ012A2WANV / ASIEQ012A2WANV,Split Hi-Wall,12000.0,546.0,5.53
Vertys,ASIIF018A2WANV / ASIEF018A2WANV,Split Hi-Wall,18000.0,74.3,5.95
Vertys,ASIIQ030A2WANV / ASIEQ030A2WANV,Split Hi-Wall,30000.0,1276.0,6.19
HAIER,HSQF-12RH1MAP/IN + HSQF-12RH1MAP/OU,Split Hi-Wall,12000.0,393.0,7.0
HAIER,HSQB-24RC1MAP/IN + HSQB-24RC1MAP/OU,Split Hi-Wall,24000.0,839.0,7.0
Springer Midea,38TFCI30S5/42AGFCI30S5,Split Hi-Wall,30000.0,2202.1,3.3
Springer Midea,38TFCI22S5/42AFFCI22S5,Split Hi-Wall,22000.0,1441.3,3.7
Elgin,HJFI09C2WB / HJFE09C2CB,Split Hi-Wall,9000.0,287.0,7.6
Elgin,HIFI09C2WA / HIFE09C2CA,Split Hi-Wall,9000.0,341.0,5.93
ELGIN,HJFI30C2WG/HJFE30C2CG,Split Hi-Wall,30000.0,1077.0,7.0
TECHFRIO,TECHINV01F12INT - TECHINV01F12EXT,Split Hi-Wall,12000.0,450.0,6.0
Springer Midea,38AGQA12M5 / 42AGQA12M5,Split Hi-Wall,12000.0,447.0,6.5
Springer Midea,38AGQA18M5 / 42AGQA18M5,Split Hi-Wall,18000.0,727.0,6.0
Springer Midea,38AGVCB12M5 / 42AGVCB12M5,Split Hi-Wall,12000.0,485.0,6.0
Springer Midea,38AGVCB24M5 / 42AGVCB24M5,Split Hi-Wall,24000.0,1057.0,5.5
Springer Midea,38TVCC12S5 / 42AFVCH12S5,Split Hi-Wall,12000.0,528.0,5.5
Springer Midea,38TFCB12S5 / 42AFFCG12S5,Split Hi-Wall,12000.0,866.0,3.36
AZ,AZSW01INVF12INT - AZSW01INVF12EXT,Split Hi-Wall,12000.0,528.0,5.56
AZ,AZSW01INVF24INT - AZSW01INVF24EXT,Split Hi-Wall,24000.0,1038.0,5.62
ECOBLU,EC09QF1,Split Hi-Wall,9000.0,343.0,5.5
ECOBLU,EC12QF1,Split Hi-Wall,12000.0,512.0,5.5
ECOBLU,EC18F1,Split Hi-Wall,18000.0,778.0,5.5
HISENSE,AS-30TW2RKKDA01 / 1KK030009ZNPW5678JM0005,Split Hi-Wall,30000.0,1220.0,5.5
HISENSE,AS-30TW2RKKTT01 / 1KK030009ZNPW5678JM0001,Split Hi-Wall,30000.0,1220.0,5.5
PIONEER,WA030GHFINV / AN030GHFINV,Split Hi-Wall,30000.0,1220.0,5.5
HISENSE,AS-30TW2RKKDJ01 / 1KK030009ZNPW5678JM0006,Split Hi-Wall,30000.0,1220.0,5.5
HQ,HQ-INV30000FHI / HQ-INV30000FHO,Split Hi-Wall,30000.0,1220.0,5.5
GREE,GWC12AAC-D3NNA1DN,Split Hi-Wall,12000.0,870.0,3.51
GREE,GWH18QD-D3NNB4B,Split Hi-Wall,18000.0,34.2,3.24
GREE,GWH24QE-D3NNB4B,Split Hi-Wall,24000.0,45.6,3.24
GREE,GWH12AAC-D3NNA1D,Split Hi-Wall,12000.0,874.0,3.92
VG,VG02SFINV09INT / VG02SFINV09EXT,Split Hi-Wall,9000.0,395.0,5.55
VG,VG02SFINV18INT / VG02SFINV18EXT,Split Hi-Wall,18000.0,805.0,5.53
VG,VG02SFINV24INT / VG02SFINV24EXT,Split Hi-Wall,24000.0,1056.0,5.55
VG,VG02SFINV30INT / VG02SFINV30EXT,Split Hi-Wall,30000.0,1350.0,5.5
VG,VG02SRINV09INT / VG02SRINV09EXT,Split Hi-Wall,9000.0,395.0,5.55
PSG,PSG02SRINV30INT / PSG02SRINV30EXT,Split Hi-Wall,30000.0,1350.0,5.5
TRANE,3MXX1836HF000AA (Evaporadora Piso-Teto); 3TXK1836HF000AA (Condensadora),Split Hi-Wall,36000.0,1378.0,6.36
PHILCO,PAC12000IFM15,Split Hi-Wall,12000.0,530.0,5.5
EOS,EAS12000IQF2,Split Hi-Wall,12000.0,470.0,5.5
PHILCO,PAC12QA,Split Hi-Wall,12000.0,470.0,5.5
BRAVOLT,RC01BT-18KI (Evaporadora) / RC01BT-18KE (Condensadora),Split Hi-Wall,18000.0,806.0,5.5
CACEAIR,CACE02SFINV12INT / CACE02SFINV12EXT,Split Hi-Wall,12000.0,543.0,5.51
CACEAIR,CACE02SFINV30INT / CACE02SFINV30EXT,Split Hi-Wall,30000.0,1300.0,5.52
CACEAIR,CACE02SQINV30INT / CACE02SQINV30EXT,Split Hi-Wall,30000.0,1300.0,5.52
VIX,AS-18UW2RMADK00_IDU / AS-18UW2RMADK00_ODU,Split Hi-Wall,18000.0,515.0,8.43
VIX,AS-24UW2RBBDK02_IDU / AS-24UW2RBBDK02_ODU,Split Hi-Wall,24000.0,805.0,7.03
VIX,AS-30HF2SKHTU00_IDU / AS-30HF2SKHTU00_ODU,Split Hi-Wall,30000.0,1657.0,4.06
VIX,AS-09CR2SLDDK00_IDU / AS-09CR2SLDDK00_ODU,Split Hi-Wall,9000.0,680.0,3.14
VIX,AS-12CR2SLEDDK00_ODU / AS-12CR2SLEDK00_IDU,Split Hi-Wall,12000.0,887.1,3.14
VIX,AS-09CR2SLDDK02_IDU / AS-09CR2SLDDK02_ODU,Split Hi-Wall,9000.0,680.0,3.14
AGRATTO,FACS22FR4- 02,Split Hi-Wall,22000.0,1522.0,3.5
MARA!,MARA02SQFINV12INT7 / MARA02SQFINV12EXT7,Split Hi-Wall,12000.0,504.0,7.05
TCL,TAC-18CHSA2-INV,Split Hi-Wall,18000.0,722.0,6.01
SIMPLEY,CFSPL24IIS2BX - CFSPL24EIS2BX,Split Hi-Wall,24000.0,1016.0,5.73
MBO,MBOINV09C2I,Split Hi-Wall,9000.0,1267.2,5.5
TCL,TAC-09CSA2-INV,Split Hi-Wall,9000.0,355.0,6.14
TCL,TAC-09CSGV-INV,Split Hi-Wall,9000.0,483.0,4.5
CONSUL,CBK22C / CBL22C,Split Hi-Wall,22000.0,88.7,6.0
EOS,EAS12000IF,Split Hi-Wall,12000.0,558.0,5.5
EOS,EAS12000IQF,Split Hi-Wall,12000.0,558.0,5.5
PHILCO,PAC12000ITQFM12W,Split Hi-Wall,12000.0,558.0,5.5
BRITÂNIA,BAC12000ITFM9W PROTECT,Split Hi-Wall,12000.0,515.0,5.5
PHILCO,PAC12000ITFM9W,Split Hi-Wall,12000.0,515.0,5.5
PHILCO,PAC9000ITQFM9W,Split Hi-Wall,9000.0,454.0,5.5
ARMONY,ARM01IR12INT / ARM01IR12EXT,Split Hi-Wall,12000.0,544.0,5.5
VIX,AS-09CR2SYDDK00.indoor / AS-09CR2SYDDK00.outdoor,Split Hi-Wall,9000.0,595.0,3.21
VIX,AS-12CR2SVEDK04_IDU / AS-12CR2SVEDK04_ODU,Split Hi-Wall,12000.0,773.0,3.62
HQ,INV12000QFA,Split Hi-Wall,12000.0,479.0,5.5
HQ,INV24000QFA,Split Hi-Wall,24000.0,959.0,5.5
SAMSUNG,AR12BVFAAWKNAZ,Split Hi-Wall,12000.0,485.0,6.0
SAMSUNG,AR18BVHZCWKNAZ,Split Hi-Wall,18000.0,703.0,6.2
SAMSUNG,AR09CVFAAWKNAZ,Split Hi-Wall,9000.0,273.0,9.0
SAMSUNG,AR12CVFAAWKNAZ,Split Hi-Wall,12000.0,364.0,8.2
SAMSUNG,AR24CSECABTNAZ,Split Hi-Wall,22000.0,888.0,6.0
TECHFRIO,TECHPOPIND12K / TEC HPOPOUT12K,Split Hi-Wall,12000.0,540.0,5.55
BRAVOLT,BRAVOLTIND18K / BRAVOLTOUT18K,Split Hi-Wall,18000.0,820.0,5.7
TECHFRIO,TECHECO24IND / TECHECO24OUT,Split Hi-Wall,24000.0,791.0,7.21
PHILCO,PAC18000IQFM12W,Split Hi-Wall,18000.0,810.0,5.5
PHILCO,PAC24000IQFM9W,Split Hi-Wall,24000.0,995.0,5.5
PHILCO,PAC30000IQFM8W PROTECT,Split Hi-Wall,30000.0,1172.0,6.2
PHILCO,PAC12000IFM14,Split Hi-Wall,12000.0,529.0,5.5
LG,S3NQ18KLQAL+S3UQ18KLQAL,Split Hi-Wall,19000.0,836.2,5.5
LG,S3NQ12JAR1K+S3UQ12JAR1K,Split Hi-Wall,12000.0,484.6,6.0
LG,S3NW18KL31A+S3UW18KL31A,Split Hi-Wall,19000.0,742.4,6.2
LG,S3NW24K2R7A+S3UW24K2R7A,Split Hi-Wall,22000.0,833.0,6.4
LG,S3NW24K231A+S3UW24K231A,Split Hi-Wall,22000.0,833.0,6.4
LG,S3NW09AA33C+S3UW09AA33C,Split Hi-Wall,9000.0,363.3,6.0
LG,S3NW12JA33B+S3UW12JA33B,Split Hi-Wall,12000.0,484.6,6.0
LG,S3NW12JAQAL+S3UW12JAQAL,Split Hi-Wall,11000.0,484.4,5.5
LG,S3NQ12JA31E+S3UQ12JA31E,Split Hi-Wall,12000.0,484.7,6.0
LG,S3NQ24K233B+S3UQ24K233B,Split Hi-Wall,22000.0,888.3,6.0
LG,S3NQ120AKH0 + S3UQ120AKH0,Split Hi-Wall,12000.0,382.5,7.6
LG,S3NW120AKH0 + S3UW120AKH0,Split Hi-Wall,12000.0,382.5,7.6
LG,S3NQ12JA33L+S3UQ12JA33L,Split Hi-Wall,12000.0,415.2,7.0
LG,S3NQ24K233C+S3UQ24K233C,Split Hi-Wall,22000.0,761.1,7.0
TCL,TAC-12CHTG1-INV,Split Hi-Wall,12000.0,478.0,6.0
TCL,TAC-24CHTG1-INV,Split Hi-Wall,24000.0,899.0,6.3
TCL,TAC-24CHTG2-INV,Split Hi-Wall,24000.0,899.0,6.3
