Marca,Modelo,Status do Modelo,Tipo,Modelo Unidade Interna,Modelo Unidade Externa,Função,Tensão (V),Rotação,Fluido Refrigerante,"Se outro fluido refrigerante, especificar",Carga do Fluido Refrigerante (g),Capacidade de Refrigeração Nominal (Btu/h),Capacidade de Refrigeração Nominal (W),Potência Consumida no Modo Espera (W),Capacidade a 35 °C e em Carga Total (W),Potência Consumida a 35 °C e em Carga Total (W),Capacidade a 35 °C e em Carga Parcial (W),Potência Consumida a 35 °C e em Carga Parcial (W),Capacidade a 29 °C e em Carga Parcial (W),Potência Consumida a 29 °C e em Carga Parcial (W),Capacidade a 29 ºC e Carga Total (W),Potência Consumida a 29 ºC e Carga Total (W) ,IDRS (Wh/Wh),Consumo Anual de Energia (kWh),Faixa de Classificação,Código de Barras,Status do Registro,Número do Registro
Midea - 42MVCA22M5 / 38MVCA22M5,Midea - 42MVCA22M5 / 38MVCA22M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
SPRINGER-42RNCA09S5/38KCF09S5,SPRINGER-42RNCA09S5/38KCF09S5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Carrier - 42LUQB030515LC / 38KQB030515MC,Carrier - 42LUQB030515LC / 38KQB030515MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
Comfee - 42MMQB24F5 / 38MMQB24F5,Comfee - 42MMQB24F5 / 38MMQB24F5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
Midea - 42MVQA22M5 / 38MVQA22M5,Midea - 42MVQA22M5 / 38MVQA22M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
SPRINGER-42RNQA12S5/38KQF12S5,SPRINGER-42RNQA12S5/38KQF12S5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
Springer - MCA175BB,Springer - MCA175BB,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001654/2012
Springer - ZQA215RB,Springer - ZQA215RB,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001649/2012
Admiral - 42RYCB012515LA / 38RYCB012515MA,Admiral - 42RYCB012515LA / 38RYCB012515MA,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Comfee - 42MMCA07F5 / 38MMCA07F5,Comfee - 42MMCA07F5 / 38MMCA07F5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Midea - 42MLCA09M5 / 38MLCA09M5,Midea - 42MLCA09M5 / 38MLCA09M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Midea - 42MTCB07M5 / 38MTCB07M5,Midea - 42MTCB07M5 / 38MTCB07M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Midea - 42MTCA22M5 / 38MTCA22M5,Midea - 42MTCA22M5 / 38MTCA22M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
CARRIER-42LUCC18C5/38KCH18C5,CARRIER-42LUCC18C5/38KCH18C5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Midea - 42MLQA18M5 / 38MLQA18M5,Midea - 42MLQA18M5 / 38MLQA18M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
ADMIRAL-42RYQC12A5/38KQG12A5,ADMIRAL-42RYQC12A5/38KQG12A5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
Midea - 42MLQB09M5 / 38MLQB09M5,Midea - 42MLQB09M5 / 38MLQB09M5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001438/2012
Springer - ZCA195RB,Springer - ZCA195RB,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001654/2012
KENNEDY/KEN09INT/KEN09EXT,KENNEDY/KEN09INT/KEN09EXT,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001490/2012
Carrier - 42LUCA012515LC / 38KCA012515MC,Carrier - 42LUCA012515LC / 38KCA012515MC,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
Comfee - 42MMCA07F5 / 38MMCA07F5,Comfee - 42MMCA07F5 / 38MMCA07F5,Incluido,,,,,,,,,,,,,,,,,,,,,,,,,Cancelado,001437/2012
